input;actual;result
18 halfgedroogde kerstomaten in olie (versmarkt);18 halfgedroogde kerstomaten in olie versmarkt;18 halfgedroogde kerstomaten in olie versmarkt
1.5 koppen rijst;1.5 koppen rijst;1.5 koppen rijst
2 eetl. zachte mosterd;2 eetl. zachte mosterd;2 eetlepels zachte mosterd
0.5 bosjes verse peterselie;0.5 bosjes verse peterselie;0.5 bosje verse peterselie
250 g pruimtomaten kleine;250g pruimtomaten;250g pruimtomaten
bloemkolen;1 bloemkool;bloemkolen
4 Boni bio citroenen;4 Boni bio citroenen;4 Boni bio citroenen
0.5 schaaltje waterkers;0.5 schaaltje waterkers;0.5 schaaltje waterkers
5 eieren;5 eieren;5 eieren
babypeertjes (bokaal);babypeertjes (bokaal);babypeertjes in bokaal
2 verpakkingen Braziliaanse bakpatatjes;2 verpakkingen Braziliaanse bakpatatjes;2 verpakkingen Braziliaanse bakpatatjes
15 witte asperge;15 witte asperges;15 witte asperges
6 stengel bleekselder;6 stengels bleekselder;6 stengels bleekselderij
80 g mango;80g mango;80g mango
125 ml zure room;125ml zure room;125ml zure room
1 eetl olijfolie extra vierge voor de risotto;1 eetlepel olijfolie extra vierge;1 eetlepel olijfolie extra vierge
70 g fijne suiker;70g fijne suiker;70g fijne suiker
1 dl runderfond (bokaal);1 dl runderfond in bokaal;1 dl runderfond in bokaal
110 g halfgedroogde tomaten;110g halfgedroogde tomaten;110g halfgedroogde tomaten
2 verpakkingen pizzadeeg;2 verpakkingen pizzadeeg;2 verpakkingen pizzadeeg
600 g Alaska pollak (diepvries);600g Alaska pollak diepvries;600g Alaska pollak diepvries
2 belgica-appelen;2 belgica-appelen;2 belgica-appelen
250 g Alaska pollak (diepvries);250g Alaska pollak diepvries;250g Alaska pollak diepvries
80 g panko;80g panko;80g panko
40 g honing;40g honing;40g honing
100 ml ketjap manis;100ml ketjap manis;100ml ketjap manis
1 el zwarte peperbollen;1 el zwarte peperbollen;1 el zwarte peperbollen
300 g braambessen;300g braambessen;300g braambessen
4 klein vastkokende aardappel;4 klein vastkokende aardappels;4 klein vastkokende aardappelen
little gem (slaharten);little gem;little gem
400 g gekookte ham (sneetjes);400g gekookte ham sneetjes;400g gekookte ham sneetjes
0.5 koffiel grenadine;0.5 koffielepel grenadine;0.5 koffielepel grenadine
4 cl cognac;4cl cognac;4cl cognac
10 g groene-aspergepunten;10g groene-aspergepunten;10g groene aspergepunten
100 g boter;100g boter;100g boter
20 champignons;20 champignons;20 champignons
6 smarties rode;6 smarties rode;6 smarties rode
300 g seitan blok;300g seitan blok;300g seitan blok
1 kg kalkoengebraad;1kg kalkoengebraad;1kg kalkoengebraad
200 g broccolirijst;200g broccolirijst;200g broccolirijst
1 takjes kervel;1 takje kervel;1 takje kervel
200 g spirelli tricolore;200g spirelli tricolore;200g spirelli tricolore
4 blikje ansjovis;4 blikjes ansjovis;4 blikjes ansjovis
1 kg mascarpone;1kg mascarpone;1kg mascarpone
3 eetl mayonaise of plantaardig alternatief voor yoghurt op basis van kokos;3 eetlepels mayonaise;3 eetlepels mayonaise
2 el suikerpoeder;2 el suikerpoeder;2 el suikerpoeder
5 pruimen grote;5 pruimen;5 grote pruimen
10 gedroogde tomaten (versmarkt) + de olie uit de verpakking;10 gedroogde tomaten versmarkt;10 gedroogde tomaten versmarkt
4 eetl. patisseriebloem;4 eetl. patisseriebloem;4 eetlepels patisseriebloem
rode uien;rode uien;rode uien
8 kastanjechampignon;8 kastanjechampignons;8 kastanjechampignons
1 kleine spitskool;1 kleine spitskool;1 kleine spitskool
0.5 kg aardappelen;500g aardappelen;500g aardappelen
10 g verse gember;10g verse gember;10g verse gember
70 g rode pesto (versmarkt);70g rode pesto versmarkt;70g rode pesto versmarkt
120 g verse garnalen;120g verse garnalen;120g verse garnalen
1 eetl chilisaus facultatief;1 eetlepel chilisaus;1 eetlepel chilisaus
400 g nestnoedels;400g nestnoedels;400g nestnoedels
0.5 verpakkingen rucola;0.5 verpakkingen rucola;0.5 verpakkingen rucola
2 peren Durondeau;2 peren Durondeau;2 peren Durondeau
550 g artisjokken met steel ( bokaal) (+ 3 eetl olie uit de verpakking;550g artisjokken in bokaal;550g artisjokken met steel in bokaal
0.3 rol bladerdeeg (vers);0.3 rol bladerdeeg vers;0.3 rol bladerdeeg vers
0.16 knolselder;0.16 knolselder;0.16 knolselder
3 grote courgettes;3 grote courgettes;3 grote courgettes
1 el zoete chilisaus;1 el zoete chilisaus;1 el zoete chilisaus
12 lasagnevellen;12 lasagnevellen;12 lasagnevellen
800 g varkensstoofvlees (beenhouwerij);800g varkensstoofvlees beenhouwerij;800g varkensstoofvlees beenhouwerij
35 g groenepeperbolletjes bokaal;35g groenepeperbolletjes in bokaal;35g groenepeperbolletjes in bokaal
1 gebraden van koteletten (beenhouwerij);1 gebraden van koteletten beenhouwerij;1 gebraden van koteletten (beenhouwerij)
2 blokjes vetarme kippenbouillon;2 blokjes vetarme kippenbouillon;2 blokjes vetarme kippenbouillon
250 g blauwe kaas;250g blauwe kaas;250g blauwe kaas
2 el kruidenkaas;2 el kruidenkaas;2 el kruidenkaas
25 g tournedos (beenhouwerij);25g tournedos beenhouwerij;25g tournedos
1 beschuit;1 beschuit;1 beschuit
265 g pure chocolade;265g pure chocolade;265g pure chocolade
500 g patisseriebloem;500g patisseriebloem;500g patisseriebloem
4 Turkse broodjes;4 Turkse broodjes;4 Turkse broodjes
1 el ras el hanout;1 el ras el hanout;1 el ras el hanout
1 rollen bladerdeeg (diepvries);1 rol bladerdeeg diepvries;1 rol bladerdeeg diepvries
345 g bloem;345g bloem;345g bloem
500 g runderwangen;500g runderwangen;500g runderwangen
3 limoen;3 limoen;3 limoenen
1 eetl. zeewiertapenade;1 eetlepel zeewiertapenade;1 eetlepel zeewiertapenade
165 ml kokosmelk (blik);165ml kokosmelk in blik;165ml kokosmelk in blik
2 el yoghurt;2 el yoghurt;2 el yoghurt
8 tortillawrap;8 tortillawraps;8 tortillawraps
20 cl sinaasappellimonade;20cl sinaasappellimonade;20cl sinaasappellimonade
6 dl cranberrydrink;6dl cranberrydrink;600ml cranberrydrink
0.5 koffielepel gedroogde chilipepervlokjes;0.5 koffielepel gedroogde chilipepervlokjes;0.5 koffielepel gedroogde chilipepervlokjes
500 g zoetzure saus met ananas en groenten in bokaal;500g zoetzure saus met ananas en groenten in bokaal;500g zoetzure saus met ananas en groenten in bokaal
5 plakje chorizo;5 plakjes chorizo;5 plakjes chorizo
1.5 cl droge witte wijn;1.5cl droge witte wijn;1.5cl droge witte wijn
8 porties diepvries bladspinazie;8 porties diepvries bladspinazie;8 porties diepvries bladspinazie
340 g pastasaus Pecorino-Look;340g pastasaus Pecorino-Look;340g pastasaus Pecorino-Look
600 g gesneden prei (diepvries);600g gesneden prei diepvries;600g gesneden prei diepvries
300 g erwten (diepvries);300g erwten diepvries;300g erwten diepvries
1 handvol pistachenoten;1 handvol pistachenoten;1 handvol pistachenoten
1 kl witte peper;1 kl witte peper;1 kl witte peper
12 kiwibessen;12 kiwibessen;12 kiwibessen
5 g verse bladpeterselie;5g verse bladpeterselie;5g verse bladpeterselie
6 sneetje Ganda-ham (vers);6 sneetjes Ganda-ham vers;6 sneetjes Ganda-ham vers
15 cl cider Belgische;15cl cider Belgische;15cl cider Belgische
25 ml citroensap;25ml citroensap;25ml citroensap
1 plantjes bieslook (diepvries);1 plantje bieslook diepvries;1 plantje bieslook diepvries
32 Spar mosselen;32 Spar mosselen;32 Spar mosselen
aluminiumfolie of carta folie;aluminiumfolie;aluminiumfolie
1 Boni Selection krab;1 Boni Selection krab;1 Boni Selection krab
3 eetl ahornsiroop of vloeibare honing;3 eetlepels ahornsiroop;3 eetlepels ahornsiroop
400 g shiitake;400g shiitake;400g shiitake
1 verpakking feta;1 verpakking feta;1 verpakking feta
4 hamburgerbroodjes Maxi;4 hamburgerbroodjes Maxi;4 hamburgerbroodjes Maxi
300 gekookte kreeften (diepvries) ± 300 g elk;300 gekookte kreeften diepvries;300 gekookte kreeften diepvries
5 vel brickdeeg;5 vel brickdeeg;5 velletjes brickdeeg
2 el;2 el;2 el
2 stengels witte selder;2 stengels witte selder;2 stengels witte selder
3 zoetzure augurk;3 zoetzure augurk;3 zoetzure augurken
250 g zeezout;250g zeezout;250g zeezout
2 dl Blanche de Namur (witbier);200ml Blanche de Namur witbier;200ml Blanche de Namur
takjes verse tijm;takjes verse tijm;takjes verse tijm
6 blauwe bessen;6 blauwe bessen;6 blauwe bessen
300 g tomatenvlees met groenten (bokaal);300g tomatenvlees met groenten in bokaal;300g tomatenvlees met groenten in bokaal
scheutje rode wijnazijn;scheutje rode wijnazijn;scheutje rode wijnazijn
1 eetl Mexicaanse chili (kruidenmix);1 eetlepel Mexicaanse chili kruidenmix;1 eetlepel Mexicaanse chili
2 eetl volle yoghurt natuur;2 eetlepels volle yoghurt natuur;2 eetlepels volle yoghurt natuur
1 koffiel knoflookpasta met zonnebloemolie;1 koffielepel knoflookpasta met zonnebloemolie;1 koffielepel knoflookpasta met zonnebloemolie
8 g kandijsiroop;8g kandijsiroop;8g kandijsiroop
zwarte olijven zonder pit;zwarte olijven zonder pit;zwarte olijven zonder pit
250 g gezouten spekblokjes versmarkt;250g gezouten spekblokjes versmarkt;250g gezouten spekblokjes versmarkt
0.5 kop bloem;0.5 kop bloem;0.5 kop bloem
6 honingtomaatjes;6 honingtomaatjes;6 honingtomaatjes
6 el bloemsuiker;6 el bloemsuiker;6 el bloemsuiker
2 komkommer;2 komkommers;2 komkommers
130 g voorgekookte tarwegraantjes;130g voorgekookte tarwegraantjes;130g voorgekookte tarwegraantjes
3.5 dl halfvolle melk;350ml halfvolle melk;350ml halfvolle melk
0.33 ananassen;0.33 ananassen;0.33 ananassen
1 plantjes verse tijm;1 plantje verse tijm;1 plantje verse tijm
450 g gekookte rode biet;450g gekookte rode biet;450g gekookte rode biet
3 sneetje toastbrood;3 sneetjes toastbrood;3 sneetjes toastbrood
200 g blauwgeaderde kaas;200g blauwgeaderde kaas;200g blauwgeaderde kaas
1.2 kg gepelde tomaten (blik);1.2kg gepelde tomaten in blik;1.2kg gepelde tomaten in blik
1 el gedroogde tijm;1 el gedroogde tijm;1 el gedroogde tijm
200 g boekweitmeel volkoren;200g boekweitmeel volkoren;200g boekweitmeel volkoren
