input;actual;prediction
250 ml Boni rietsuikersiroop;250ml Boni rietsuikersiroop;250 ml rietsuikersiroop
2 bokalen Spar rolmops;2 bokalen Spar rolmops;2 bokalen rolmops
25 cl Boni volle yoghurt;25cl Boni volle yoghurt;250 ml volle yoghurt
Spar haringfilets;Spar haringfilets;120 g Spar haringfilets
1 klein blik Boni Selection gebroken sperziebonen;1 klein blik Boni Selection gebroken sperziebonen;1 blik (400 g) gebroken sperziebonen
75 g Spar cashewnoten;75g Spar cashewnoten;75 g Spar cashewnoten
12 Spar Tasty walnoten;12 Spar Tasty walnoten;12 gram walnoten
50 g verse frambozen;50g verse frambozen;50 g verse frambozen
500 g verse frambozen;500g verse frambozen;500 g frambozen
400 g Spar skrei of kabeljauwhaasje;400g Spar skrei;400 g skrei of kabeljauw
8 minimozzarellabolletjes;8 minimozzarellabolletjes;8 stuks minimozzarellabolletjes
1 kl Boni arachideolie;1 kl Boni arachideolie;1 kl Boni arachideolie
6 cl schuimwijn;6cl schuimwijn;6 cl schuimwijn
6 takje verse rozemarijn;6 takjes verse rozemarijn;6 takjes verse rozemarijn
4 gedroogde tomaten op olie;4 gedroogde tomaten op olie;4 stuks gedroogde tomaten op olie
150 g blonde cassonade;150g blonde cassonade;150 g blonde cassonade
400 g vastkokende aardappelen of krielaardappelen;400g vastkokende aardappelen;400 g aardappelen
400 g varkenswangetjes;400g varkenswangetjes;400 g varkenswangetjes
100 g volkoren speltmeel;100g volkoren speltmeel;100 g volkoren speltmeel
12 cl water;12cl water;12 cl water
4 eetl. tapenades Sweet Pepper (versmarkt);4 eetl. tapenades Sweet Pepper versmarkt;4 eetlepels tapenades Sweet Pepper (versmarkt)
750 g prei;750g prei;750 g prei
6 tak groene selder;6 takken groene selder;500 g groene selder
2 rookworst;2 rookworst;2 rookworst
geraspte mozzarella;geraspte mozzarella;200 g geraspte mozzarella
plantje verse koriander;1 plantje verse koriander;1 bos verse koriander
4 sneetjes wit brood;4 sneetjes wit brood;4 sneetjes wit brood
180 g gemarineerde filets veggie (vers);180g gemarineerde filets veggie vers;180 g gemarineerde veggie filets
4 sneetjes boulotbroden dikke sneetjes;4 sneetjes boulotbrood;4 sneetjes boulotbrood
1 limoenen in partjes;1 limoen in partjes;1 limoenen
60 g geraspte oude Italiaanse kaas;60g geraspte oude Italiaanse kaas;60 g geraspte oude Italiaanse kaas
9 takjes munt (vers);9 takjes munt vers;9 takjes verse munt
2 Romeinse tomaten;2 Romeinse tomaten;2 stuks Romeinse tomaten
2 koffielepels dille;2 koffielepels dille;2 tl dille
37.5 cl rode wijn merlot;37.5cl rode wijn merlot;375 ml rode wijn merlot
1 handvol munt;1 handvol munt;1 handvol munt
0.25 kl kerrie;0.25kl kerrie;250 gram kerrie
150 g gemalen kokosnoot;150g gemalen kokosnoot;150 g gemalen kokosnoot
400 g courgettes;400g courgettes;400 g courgettes
2 preischeuten;2 preischeuten;200 g preischeuten
2 verpakkingen gerookte paling;2 verpakkingen gerookte paling;2 verpakkingen gerookte paling
2 cl Grand Marnier;2cl Grand Marnier;2 cl Grand Marnier
200 g noordse garnalen (diepvries);200g noordse garnalen diepvries;200 g diepvriesnordse garnalen
500 g kalfsescalopes (beenhouwerij);500g kalfsescalopes beenhouwerij;500 g kalfsescalopes
700 g bladspinazie (diepvries);700g bladspinazie diepvries;700 g diepvries bladspinazie
2 el Baileys;2 el Baileys;2 el Baileys
muffinvormpjes;muffinvormpjes;12 stuks muffinvormpjes
7 eieren;7 eieren;7 eieren
40 g eendenlever (beenhouwerij);40g eendenlever beenhouwerij;40 g eendenlever
400 g gerookte Atlantische zalm (versmarkt);400g gerookte Atlantische zalm versmarkt;400 g gerookte Atlantische zalm
600 g lamsburgers (beenhouwerij);600g lamsburgers beenhouwerij;600 g lamsburgers
0.5 potjes kappertjes (bokaal) liefst met steeltje;0.5 potje kappertjes in bokaal;500 g kappertjes (in pot)
160 ml water;160ml water;160 ml water
75 cl granaatappelsap;75cl granaatappelsap;75 cl granaatappelsap
