input;actual;output
250 ml Boni rietsuikersiroop;250ml Boni rietsuikersiroop;250 ml Boni rietsuikersiroop
2 bokalen Spar rolmops;2 bokalen Spar rolmops;2 stuks Spar rolmops
25 cl Boni volle yoghurt;25cl Boni volle yoghurt;250 ml Boni volle yoghurt
Spar haringfilets;Spar haringfilets;200 gram Spar haringfilets
1 klein blik Boni Selection gebroken sperziebonen;1 klein blik Boni Selection gebroken sperziebonen;400 gram Boni Selection gebroken sperziebonen, uit blik
75 g Spar cashewnoten;75g Spar cashewnoten;75 gram cashewnoten
12 Spar Tasty walnoten;12 Spar Tasty walnoten;12 stuks Spar Tasty walnoten
50 g verse frambozen;50g verse frambozen;50 gram frambozen, vers
500 g verse frambozen;500g verse frambozen;500 gram frambozen, vers
400 g Spar skrei of kabeljauwhaasje;400g Spar skrei;400 gram Spar skrei of kabeljauwhaasje
8 minimozzarellabolletjes;8 minimozzarellabolletjes;8 stuks mini mozzarella bollen
1 kl Boni arachideolie;1 kl Boni arachideolie;1 kl Boni arachideolie
6 cl schuimwijn;6cl schuimwijn;60 ml schuimwijn
6 takje verse rozemarijn;6 takjes verse rozemarijn;6 takjes verse rozemarijn
4 gedroogde tomaten op olie;4 gedroogde tomaten op olie;4 stuks gedroogde tomaten op olie
150 g blonde cassonade;150g blonde cassonade;150 gram cassonade, blond
400 g vastkokende aardappelen of krielaardappelen;400g vastkokende aardappelen;400 gram vastkokende aardappelen
400 g varkenswangetjes;400g varkenswangetjes;400 gram varkenswangetjes
100 g volkoren speltmeel;100g volkoren speltmeel;100 gram volkoren speltmeel
12 cl water;12cl water;120 ml water
4 eetl. tapenades Sweet Pepper (versmarkt);4 eetl. tapenades Sweet Pepper versmarkt;4 eetlepels tapenades Sweet Pepper
750 g prei;750g prei;- 750 gram prei
6 tak groene selder;6 takken groene selder;- 6 takken groene selder
2 rookworst;2 rookworst;2 rookworsten
geraspte mozzarella;geraspte mozzarella;1 geraspte mozzarella
plantje verse koriander;1 plantje verse koriander;1 plantje verse koriander
4 sneetjes wit brood;4 sneetjes wit brood;4 sneetjes wit brood
180 g gemarineerde filets veggie (vers);180g gemarineerde filets veggie vers;180 gram gemarineerde veggie filets, vers
4 sneetjes boulotbroden dikke sneetjes;4 sneetjes boulotbrood;4 sneetjes boulotbrood, dik gesneden
1 limoenen in partjes;1 limoen in partjes;- 1 limoen, in partjes
60 g geraspte oude Italiaanse kaas;60g geraspte oude Italiaanse kaas;60 gram geraspte oude Italiaanse kaas
9 takjes munt (vers);9 takjes munt vers;9 takjes verse munt
2 Romeinse tomaten;2 Romeinse tomaten;2 stuks Romeinse tomaten
2 koffielepels dille;2 koffielepels dille;2 koffielepels dille
37.5 cl rode wijn merlot;37.5cl rode wijn merlot;375 ml rode wijn merlot
1 handvol munt;1 handvol munt;1 handvol munt
0.25 kl kerrie;0.25kl kerrie;- 250 gram kerrie
150 g gemalen kokosnoot;150g gemalen kokosnoot;150 gram kokos, gemalen
400 g courgettes;400g courgettes;400 gram courgettes
2 preischeuten;2 preischeuten;2 preischeuten
2 verpakkingen gerookte paling;2 verpakkingen gerookte paling;2 verpakkingen gerookte paling
2 cl Grand Marnier;2cl Grand Marnier;20 ml Grand Marnier
