input;actual;prediction
250 ml Boni rietsuikersiroop;250ml Boni rietsuikersiroop;Rijstsuiker (250 ml)
2 bokalen Spar rolmops;2 bokalen Spar rolmops;Rolmops 200 g
25 cl Boni volle yoghurt;25cl Boni volle yoghurt;25 g yoghurt
Spar haringfilets;Spar haringfilets;* Haringfilets (250g)
1 klein blik Boni Selection gebroken sperziebonen;1 klein blik Boni Selection gebroken sperziebonen;Gebroken sperziebonen (250g)
75 g Spar cashewnoten;75g Spar cashewnoten;75 g cashewnoten
12 Spar Tasty walnoten;12 Spar Tasty walnoten;12 gram walnoten
50 g verse frambozen;50g verse frambozen;Frambozen (50 g)
500 g verse frambozen;500g verse frambozen;Frambozen (500 g)
400 g Spar skrei of kabeljauwhaasje;400g Spar skrei;400 g Spar skrei (kabeljauwhaasje)
8 minimozzarellabolletjes;8 minimozzarellabolletjes;8 mozzarella-ballen (120g)
1 kl Boni arachideolie;1 kl Boni arachideolie;Arachideolie (1 kg)
6 cl schuimwijn;6cl schuimwijn;6 cl schuimwijn
6 takje verse rozemarijn;6 takjes verse rozemarijn;Rozemarijn (60 gram)
4 gedroogde tomaten op olie;4 gedroogde tomaten op olie;Tomaten op olie (400g)
150 g blonde cassonade;150g blonde cassonade;150 g blonde cassonade
400 g vastkokende aardappelen of krielaardappelen;400g vastkokende aardappelen;400 g aardappelen
400 g varkenswangetjes;400g varkenswangetjes;Varkenswangetjes (400 g)
100 g volkoren speltmeel;100g volkoren speltmeel;100 g volkoren speltmeel
12 cl water;12cl water;Water (12 cl)
4 eetl. tapenades Sweet Pepper (versmarkt);4 eetl. tapenades Sweet Pepper versmarkt;200 g Sweet Pepper tapenades
750 g prei;750g prei;750 g prei
6 tak groene selder;6 takken groene selder;6 gram selder
2 rookworst;2 rookworst;2 rotsworst (250g/stuk)
geraspte mozzarella;geraspte mozzarella;250 g
plantje verse koriander;1 plantje verse koriander;1. Koriander,bloem 10g
4 sneetjes wit brood;4 sneetjes wit brood;Wit brood, 4 stukjes
180 g gemarineerde filets veggie (vers);180g gemarineerde filets veggie vers;180 g gemarineerde filets
4 sneetjes boulotbroden dikke sneetjes;4 sneetjes boulotbrood;• Boulotbroden (4 stuks)
1 limoenen in partjes;1 limoen in partjes;1 limoen in stuks
60 g geraspte oude Italiaanse kaas;60g geraspte oude Italiaanse kaas;Oude Italiaanse kaas (60 g)
9 takjes munt (vers);9 takjes munt vers;Munt (9 takjes, vers)
2 Romeinse tomaten;2 Romeinse tomaten;2 tomaten
2 koffielepels dille;2 koffielepels dille;2 koffielepels dille (oppedragen)
37.5 cl rode wijn merlot;37.5cl rode wijn merlot;Rode wijn (37,5 gram)
1 handvol munt;1 handvol munt;1 handvol = 10 gram munt
0.25 kl kerrie;0.25kl kerrie;250 g kerrie
150 g gemalen kokosnoot;150g gemalen kokosnoot;150 g kokosnoot
400 g courgettes;400g courgettes;400 g courgettes
2 preischeuten;2 preischeuten;2 preischuut (stuk)
2 verpakkingen gerookte paling;2 verpakkingen gerookte paling;2 x gerookte paling (160g/st)
2 cl Grand Marnier;2cl Grand Marnier;Grand Marnier (20 ml)
200 g noordse garnalen (diepvries);200g noordse garnalen diepvries;200 g noordse garnalen (diepvries)
500 g kalfsescalopes (beenhouwerij);500g kalfsescalopes beenhouwerij;Kalfsescalopes: 500 g
700 g bladspinazie (diepvries);700g bladspinazie diepvries;700 g bladspinazie
2 el Baileys;2 el Baileys;Baileys (100 ml)
muffinvormpjes;muffinvormpjes;"Voor:  Muffinvormpjes

* Bloem (250 g)
* Suiker (100 g)
* Eier (1 stuk)
* Melk (120 ml)
* Tijdrijpingsgists (1 pak)
* Salz (1 snuif)"
7 eieren;7 eieren;Eieren (7 stuks)
40 g eendenlever (beenhouwerij);40g eendenlever beenhouwerij;Eendenlever (beenhouwerij), 40 g
400 g gerookte Atlantische zalm (versmarkt);400g gerookte Atlantische zalm versmarkt;400 g gerookte Atlantische zalm
600 g lamsburgers (beenhouwerij);600g lamsburgers beenhouwerij;600 g lamsburgers
0.5 potjes kappertjes (bokaal) liefst met steeltje;0.5 potje kappertjes in bokaal;Kappertjes (200g)
160 ml water;160ml water;Water: 160 ml
75 cl granaatappelsap;75cl granaatappelsap;Granaatappelsap (75 cl)
150 g snijbonen;150g snijbonen;Snijbonen (150 g)
12 cl ananassap;12cl ananassap;"Allessimpel:

Ananas (12 cl)"
33 cl Rochefort 8;33cl Rochefort 8;330 gram Rochefort 8
150 g gekookte ham (sneetjes);150g gekookte ham sneetjes;Gekookte ham (sneetjes) - 150 g
Boni pizzasaus;Boni pizzasaus;Eiwitrijk melkmeel (300 g), zonnebloemolie (200 g), koemelk (180 g), water (120 g), gist (10 g), zout (8 g), kippen-ei (5 g), suiker (3 g), aroma's (1 g), geselamelznood (0.5 g)
500 g boterbonen (diepvries);500g boterbonen diepvries;500 g boterbonen
8 melkchocolade mignonettes;8 melkchocolade mignonettes;Melkchocolade: 8postalcode: mignonettes
40 g noordzeegarnalen (versmarkt);40g noordzeegarnalen versmarkt;40 g noordzeegarnalen
2 el pikante tapenade (versmarkt);2 el pikante tapenade versmarkt;Tapenade (2 g)
300 g couscous;300g couscous;300 g couscous
1 kg shiitake;1kg shiitake;1 kg shiitake
2 cl gin;2cl gin;Gin (25 mL)
1 potje gefrituurde uitjes;1 potje gefrituurde uitjes;•Ui's, 100 g
6 eetlepel appelmoes;6 eetlepels appelmoes;Appelmoes (200g)
2 voorgekookte kreeft;2 voorgekookte kreeft;2 kreeft (voorgekookt)
10 cl La Trappe Quadrupel;10cl La Trappe Quadrupel;10 cl La Trappe Quadrupel
4 koffiel tapenade van groene olijven (versmarkt);4 koffielepels tapenade van groene olijven versmarkt;* Olijven, groene (400g)
"1 wit toastbrood of gewoon wit brood; niet gesneden";1 wit toastbrood;Wit brood (400g)
2 dl Troubadour Magma;2dl Troubadour Magma;Troubadour Magma, 240 ml
120 ml kriekbier;120ml kriekbier;120 ml bier
2 dl visfond (bokaal);200ml visfond bokaal;2 dl visfond
1 blik artisjokharten;1 blik artisjokharten;1 x 250g artisjokharten
8 blaadje waterkers;8 blaadjes waterkers;Waterkers (80 gram)
4 cordon bleu (beenhouwerij);4 cordon bleu beenhouwerij;* Cordon bleu (beenhouwerij) - 4 stukken
150 g lichtbruine rietsuiker;150g lichtbruine rietsuiker;Lichtbruine rietsuiker (150 g)
1 eetlepel vanillesuiker;1 eetlepel vanillesuiker;30 g vanillesuiker
