input;actual;output
250 ml Boni rietsuikersiroop;250ml Boni rietsuikersiroop;250 ml rietsuikersiroop
2 bokalen Spar rolmops;2 bokalen Spar rolmops;Rolmops (2 stuks)
25 cl Boni volle yoghurt;25cl Boni volle yoghurt;25 cl yoghurt
Spar haringfilets;Spar haringfilets;* Haringfilets (200 g)
1 klein blik Boni Selection gebroken sperziebonen;1 klein blik Boni Selection gebroken sperziebonen;Gebroken sperziebonen 120g
75 g Spar cashewnoten;75g Spar cashewnoten;Cashewnoten, 75 gram
12 Spar Tasty walnoten;12 Spar Tasty walnoten;Walnoten, 120 gram
50 g verse frambozen;50g verse frambozen;Frambozen (50 g)
500 g verse frambozen;500g verse frambozen;Frambozen, 500 g
400 g Spar skrei of kabeljauwhaasje;400g Spar skrei;400 g Spar skrei
8 minimozzarellabolletjes;8 minimozzarellabolletjes;8 mozzarella-bollen  (250g)
1 kl Boni arachideolie;1 kl Boni arachideolie;1 kg arachideolie
6 cl schuimwijn;6cl schuimwijn;Schuimwijn (6 cl)
6 takje verse rozemarijn;6 takjes verse rozemarijn;Rozemarijn 6 stuks
4 gedroogde tomaten op olie;4 gedroogde tomaten op olie;Tomaten 120g
150 g blonde cassonade;150g blonde cassonade;Blonde cassonade (150 g)
400 g vastkokende aardappelen of krielaardappelen;400g vastkokende aardappelen;Vastkokende aardappelen: 400 g
400 g varkenswangetjes;400g varkenswangetjes;400 g varkenswangetjes
100 g volkoren speltmeel;100g volkoren speltmeel;100 g volkoren speltmeel
12 cl water;12cl water;Water: 1200g
4 eetl. tapenades Sweet Pepper (versmarkt);4 eetl. tapenades Sweet Pepper versmarkt;Tapeenades: 400 gram
750 g prei;750g prei;750 g prei
6 tak groene selder;6 takken groene selder;6 g selder
2 rookworst;2 rookworst;2 rookworsten
geraspte mozzarella;geraspte mozzarella;Mozzarella (250 g)
plantje verse koriander;1 plantje verse koriander;Koriander 20 gram
4 sneetjes wit brood;4 sneetjes wit brood;Wit brood (4 stuks)
180 g gemarineerde filets veggie (vers);180g gemarineerde filets veggie vers;180 g gemarineerde filets
4 sneetjes boulotbroden dikke sneetjes;4 sneetjes boulotbrood;Boulotbrood (4 stuks)
1 limoenen in partjes;1 limoen in partjes;1 limoen, geraspt (of eventueel: 1 limoen in partjes)
60 g geraspte oude Italiaanse kaas;60g geraspte oude Italiaanse kaas;Oude Italiaanse kaas: 60 g
9 takjes munt (vers);9 takjes munt vers;Munt 9 g
2 Romeinse tomaten;2 Romeinse tomaten;2 Tomaten (450g)
2 koffielepels dille;2 koffielepels dille;1. Dille, 2 g
37.5 cl rode wijn merlot;37.5cl rode wijn merlot;Rode wijn (37.5 cl)
1 handvol munt;1 handvol munt;20 g munt
0.25 kl kerrie;0.25kl kerrie;Kerrie: 250 gram
150 g gemalen kokosnoot;150g gemalen kokosnoot;150 g kokosnootmeel
400 g courgettes;400g courgettes;Courgettes 400 g
2 preischeuten;2 preischeuten;2 preischeuten
2 verpakkingen gerookte paling;2 verpakkingen gerookte paling;2 palingen
2 cl Grand Marnier;2cl Grand Marnier;Grand Marnier (2 cl)
200 g noordse garnalen (diepvries);200g noordse garnalen diepvries;200 g noordse garnalen
500 g kalfsescalopes (beenhouwerij);500g kalfsescalopes beenhouwerij;500 g kalfsescalopes
700 g bladspinazie (diepvries);700g bladspinazie diepvries;700 g bladspinazie
2 el Baileys;2 el Baileys;* Baileys - 60 ml
muffinvormpjes;muffinvormpjes;"* 225g bloem
* 50g boter
* 25g suiker
* 1 eei
* 1 v Thuis Natuurlijke zuivel BIO"
7 eieren;7 eieren;7 eier
40 g eendenlever (beenhouwerij);40g eendenlever beenhouwerij;40 g eendenlever
400 g gerookte Atlantische zalm (versmarkt);400g gerookte Atlantische zalm versmarkt;400 g gerookte zalm
600 g lamsburgers (beenhouwerij);600g lamsburgers beenhouwerij;600 g lamsburgers
0.5 potjes kappertjes (bokaal) liefst met steeltje;0.5 potje kappertjes in bokaal;0.5 bokaal kappertjes
160 ml water;160ml water;Water: 160 ml
75 cl granaatappelsap;75cl granaatappelsap;75 g granaatappelsap
150 g snijbonen;150g snijbonen;Snijbonen: 150 g
12 cl ananassap;12cl ananassap;12 g ananas sap
33 cl Rochefort 8;33cl Rochefort 8;8 gram bier
150 g gekookte ham (sneetjes);150g gekookte ham sneetjes;150 g gekookte ham
Boni pizzasaus;Boni pizzasaus;"Tomatenpuree (280g)
Zout (5g)
Verscheidenheid van zoutachtige kruiden en specerijen (3g)
Glutenvrij."
500 g boterbonen (diepvries);500g boterbonen diepvries;500 g boterbonen
8 melkchocolade mignonettes;8 melkchocolade mignonettes;Melkchocolade (200g)
40 g noordzeegarnalen (versmarkt);40g noordzeegarnalen versmarkt;Noordzeegarnalen (40 g)
2 el pikante tapenade (versmarkt);2 el pikante tapenade versmarkt;2 el pikante tapenade (versmarkt)
300 g couscous;300g couscous;300 g couscous
1 kg shiitake;1kg shiitake;1 kg shiitake
2 cl gin;2cl gin;Gin, 2 cl
1 potje gefrituurde uitjes;1 potje gefrituurde uitjes;Uitjes (100g)
6 eetlepel appelmoes;6 eetlepels appelmoes;Appelmoes (150g)
2 voorgekookte kreeft;2 voorgekookte kreeft;Kreeft, 2 stuk
10 cl La Trappe Quadrupel;10cl La Trappe Quadrupel;La Trappe Quadrupel (10 cl)
4 koffiel tapenade van groene olijven (versmarkt);4 koffielepels tapenade van groene olijven versmarkt;Groene olijven (400g)
"1 wit toastbrood of gewoon wit brood; niet gesneden";1 wit toastbrood;1 wit brood (100g)
2 dl Troubadour Magma;2dl Troubadour Magma;1. Magma 2 dl (Fritesaus)
120 ml kriekbier;120ml kriekbier;120 ml kriekbier
2 dl visfond (bokaal);200ml visfond bokaal;2 dl visfond
1 blik artisjokharten;1 blik artisjokharten;1 x 125g artisjokharten in blik
8 blaadje waterkers;8 blaadjes waterkers;Waterkers (8 stuks)
4 cordon bleu (beenhouwerij);4 cordon bleu beenhouwerij;4 stuk(s) kipfilet
150 g lichtbruine rietsuiker;150g lichtbruine rietsuiker;Lichtbruine rietsuiker (150g)
1 eetlepel vanillesuiker;1 eetlepel vanillesuiker;1 eetlepel suiker (10 g)
6 platte oesters;6 platte oesters;Oesters, 6 stuks
40 g ananasstukjes op sap (blik);40g ananasstukjes op sap in blik;Ananas 40 g
0.5 kastanjepompoenen;0.5 kastanjepompoenen;Kastanjepompoen (0,5 kg)
400 g rundgehakt;400g rundgehakt;400 g rundgehakt
1 kg penne;1kg penne;1 kg Penne pasta
2 bokalen tomatenvlees met groenten (bokaal);2 bokalen tomatenvlees met groenten in bokaal;"Tomatenvlees (200g)
Groenten (bokaal)"
4 visbrochettes (diepvries);4 visbrochettes diepvries;Visbrochettes (4 stukken)
250 g gedroogde pruimen;250g gedroogde pruimen;250 g gedroogde pruimen
4 sneetjes pandaworsten;4 sneetjes pandaworsten;* Pandaworst: 4 stukken
2 Ruby chocoladetruffels;2 Ruby chocoladetruffels;Ruby chocoladetruffels: 200g
"40 g groene olijven; ontpit";"40g groene olijven; ontpit";Groene olijven (40 g)
250 g volkoren bloem;250g volkoren bloem;250 g volkorenbloem
400 g schelvisfilet;400g schelvisfilet;400 g schelvisfilet
1 rietsuiker naar smaak;1 rietsuiker;1 rietsuiker (gram)
15 g passievruchtensiroop ();15g passievruchtensiroop;Passievruchtensiroop (15 g)
1.2 zakje bakpoeder;1.2 zakjes bakpoeder;Bakpoeder: 120g
4 eetl gojibes;4 eetl gojibes;Goji's: 400 gram
0.5 kg ganzenvet;0.5kg ganzenvet;500g ganzenvet
3 cl vermout;3cl vermout;70 gram vermout
