input,actual,output
250 ml Boni rietsuikersiroop,250ml Boni rietsuikersiroop,250ml Boni rietsuikersiroop
2 bokalen Spar rolmops,2 bokalen Spar rolmops,2 bokalen Spar rolmops
25 cl Boni volle yoghurt,25cl Boni volle yoghurt,25cl Boni volle yoghurt
Spar haringfilets,Spar haringfilets,spar haringfilets
1 klein blik Boni Selection gebroken sperziebonen,1 klein blik Boni Selection gebroken sperziebonen,1 blik Boni Selection gebroken sperziebonen
75 g Spar cashewnoten,75g Spar cashewnoten,75g Spar cashewnoten
12 Spar Tasty walnoten,12 Spar Tasty walnoten,12 Spar Tasty walnoten
50 g verse frambozen,50g verse frambozen,50g verse frambozen
500 g verse frambozen,500g verse frambozen,500g verse frambozen
400 g Spar skrei of kabeljauwhaasje,400g Spar skrei,400g Spar skrei
8 minimozzarellabolletjes,8 minimozzarellabolletjes,8 minimozzarellabolletjes
1 kl Boni arachideolie,1 kl Boni arachideolie,100g Boni arachideolie
6 cl schuimwijn,6cl schuimwijn,6cl schuimwijn
6 takje verse rozemarijn,6 takjes verse rozemarijn,6 takjes verse rozemarijn
4 gedroogde tomaten op olie,4 gedroogde tomaten op olie,4 gedroogde tomaten
150 g blonde cassonade,150g blonde cassonade,150g blonde cassonade
400 g vastkokende aardappelen of krielaardappelen,400g vastkokende aardappelen,400g vastkokende aardappelen
400 g varkenswangetjes,400g varkenswangetjes,400g varkenswangetjes
100 g volkoren speltmeel,100g volkoren speltmeel,100g volkoren speltmeel
12 cl water,12cl water,12cl water
4 eetl. tapenades Sweet Pepper (versmarkt),4 eetl. tapenades Sweet Pepper versmarkt,4 eetlepels tapenades Sweet Pepper versmarkt
750 g prei,750g prei,750g prei
6 tak groene selder,6 takken groene selder,6 tak groene selder
2 rookworst,2 rookworst,2 rookworst
geraspte mozzarella,geraspte mozzarella,geraspte mozzarella
plantje verse koriander,1 plantje verse koriander,100g verse koriander
4 sneetjes wit brood,4 sneetjes wit brood,4 sneetjes wit brood
180 g gemarineerde filets veggie (vers),180g gemarineerde filets veggie vers,180g gemarineerde filets veggie (vers)
